name	type	taxonid	kingdom	phylum	class	order	family	genus	species
P00056_Bryopsis plumosa	rRNA_5S	3130	Eukaryota	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae	Bryopsis	NA
P00057_Geminella minor	rRNA_5S	163309	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Geminella	NA
P00058_Gloeotilopsis sterilis	rRNA_5S	160069	Eukaryota	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Gloeotilopsis	NA
P00059_Grateloupia taiwanensis	rRNA_5S	1260292	Eukaryota	Rhodophyta	Florideophyceae	Halymeniales	Halymeniaceae	Grateloupia	NA
P00060_Interfilum terricola	rRNA_5S	163310	Eukaryota	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Interfilum	NA
P00061_Leptocylindrus danicus	rRNA_5S	163516	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus	NA
P00062_Marvania geminata	rRNA_5S	97105	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Marvania	NA
P00063_Myrmecia israelensis	rRNA_5S	3171	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	NA
P00064_Oltmannsiellopsis viridis	rRNA_5S	51324	Eukaryota	Chlorophyta	Ulvophyceae	Oltmannsiellopsidales	Oltmannsiellopsidaceae	Oltmannsiellopsis	NA
P00065_Parachlorella kessleri	rRNA_5S	3074	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Parachlorella	NA
P00066_Pavlova lutheri	rRNA_5S	2832	Eukaryota	Haptista	Haptophyta	Pavlovales	Pavlovaceae	Pavlova	NA
P00067_Schizomeris leibleinii	rRNA_5S	104533	Eukaryota	Chlorophyta	Chlorophyceae	Chaetophorales	Schizomeridaceae	Schizomeris	NA
P00068_Staurastrum punctulatum	rRNA_5S	102822	Eukaryota	Streptophyta	Zygnemophyceae	Desmidiales	Desmidiaceae	Staurastrum	NA
P00069_Stigeoclonium helveticum	rRNA_5S	55999	Eukaryota	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Stigeoclonium	NA
P00070_Triparma laevis	rRNA_5S	1534972	Eukaryota	NA	Bolidophyceae	Parmales	Triparmaceae	Triparma	NA
P00071_Xylochloris irregularis	rRNA_5S	480381	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	Xylochloris	NA
P00072_Zygnema circumcarinatum	rRNA_5S	35869	Eukaryota	Streptophyta	Zygnemophyceae	Zygnematales	Zygnemataceae	Zygnema	NA
P00073_Abies koreana	rRNA_5S	97170	Eukaryota	Streptophyta	Pinopsida	Pinales	Pinaceae	Abies	NA
P00074_Acacia ligulata	rRNA_5S	138025	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	NA
P00075_Acidosasa purpurea	rRNA_5S	145980	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Acidosasa	NA
P00076_Acorus americanus	rRNA_5S	263995	Eukaryota	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	NA
P00077_Acorus calamus	rRNA_5S	4465	Eukaryota	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	NA
P00078_Acorus gramineus	rRNA_5S	55184	Eukaryota	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	NA
P00079_Actinidia chinensis	rRNA_5S	3625	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	NA
P00080_Actinidia deliciosa	rRNA_5S	3627	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	NA
P00081_Adenophora remotiflora	rRNA_5S	103991	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Adenophora	NA
P00082_Aegilops bicornis	rRNA_5S	4483	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00083_Aegilops cylindrica	rRNA_5S	130456	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00084_Aegilops geniculata	rRNA_5S	130459	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00085_Aegilops kotschyi	rRNA_5S	130458	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00086_Aegilops longissima	rRNA_5S	4486	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00087_Aegilops searsii	rRNA_5S	4487	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00088_Aegilops sharonensis	rRNA_5S	58530	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00089_Aegilops speltoides	rRNA_5S	4573	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00090_Aegilops tauschii	rRNA_5S	37682	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	NA
P00091_Aethionema cordifolium	rRNA_5S	434059	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema	NA
P00092_Aethionema grandiflorum	rRNA_5S	72657	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema	NA
P00093_Agathis dammara	rRNA_5S	60851	Eukaryota	Streptophyta	Pinopsida	Araucariales	Araucariaceae	Agathis	NA
P00094_Agrostemma githago	rRNA_5S	39848	Eukaryota	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Agrostemma	NA
P00095_Agrostis stolonifera	rRNA_5S	63632	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Agrostis	NA
P00096_Ajuga reptans	rRNA_5S	38596	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	NA
P00097_Allium cepa	rRNA_5S	4679	Eukaryota	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	NA
P00098_Allosyncarpia ternata	rRNA_5S	34307	Eukaryota	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Allosyncarpia	NA
P00099_Amborella trichopoda	rRNA_5S	13333	Eukaryota	Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella	NA
P00100_Amentotaxus argotaenia	rRNA_5S	25625	Eukaryota	Streptophyta	Pinopsida	Cupressales	Taxaceae	Amentotaxus	NA
P00101_Amentotaxus formosana	rRNA_5S	50176	Eukaryota	Streptophyta	Pinopsida	Cupressales	Taxaceae	Amentotaxus	NA
P00102_Ammophila breviligulata	rRNA_5S	286491	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Ammophila	NA
P00103_Ampelocalamus calcareus	rRNA_5S	717604	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Ampelocalamus	NA
P00104_Ampelodesmos mauritanicus	rRNA_5S	66000	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Ampelodesmos	NA
P00105_Ananas comosus	rRNA_5S	4615	Eukaryota	Streptophyta	Magnoliopsida	Poales	Bromeliaceae	Ananas	NA
P00106_Andrographis paniculata	rRNA_5S	175694	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis	NA
P00107_Angophora costata	rRNA_5S	87657	Eukaryota	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Angophora	NA
P00108_Angophora floribunda	rRNA_5S	34308	Eukaryota	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Angophora	NA
P00109_Anomochloa marantoidea	rRNA_5S	38684	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Anomochloa	NA
P00110_Anthoxanthum nitens	rRNA_5S	286619	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Anthoxanthum	NA
P00111_Anthoxanthum odoratum	rRNA_5S	29661	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Anthoxanthum	NA
P00112_Anthriscus cerefolium	rRNA_5S	40888	Eukaryota	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus	NA
P00113_Apios americana	rRNA_5S	185702	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Apios	NA
P00114_Arabidopsis thaliana	rRNA_5S	3702	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	NA
P00115_Arabis alpina	rRNA_5S	50452	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	NA
P00116_Arabis hirsuta	rRNA_5S	78191	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	NA
P00117_Arachis hypogaea	rRNA_5S	3818	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	NA
P00118_Aralia undulata	rRNA_5S	137943	Eukaryota	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Aralia	NA
P00119_Araucaria heterophylla	rRNA_5S	34341	Eukaryota	Streptophyta	Pinopsida	Araucariales	Araucariaceae	Araucaria	NA
P00120_Ardisia polysticta	rRNA_5S	1265925	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Ardisia	NA
P00121_Aristida purpurea	rRNA_5S	65970	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Aristida	NA
P00122_Artemisia frigida	rRNA_5S	395280	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	NA
P00123_Artemisia montana	rRNA_5S	669134	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	NA
P00124_Arundinaria appalachiana	rRNA_5S	591208	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Arundinaria	NA
P00125_Arundinaria fargesii	rRNA_5S	387591	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Arundinaria	NA
P00126_Arundinaria gigantea	rRNA_5S	4591	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Arundinaria	NA
P00127_Arundinaria tecta	rRNA_5S	280854	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Arundinaria	NA
P00128_Asclepias nivea	rRNA_5S	528293	Eukaryota	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	NA
P00129_Asclepias syriaca	rRNA_5S	48545	Eukaryota	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	NA
P00130_Aster spathulifolius	rRNA_5S	947974	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Aster	NA
P00131_Atropa belladonna	rRNA_5S	33113	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Atropa	NA
P00132_Avena sativa	rRNA_5S	4498	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Avena	NA
P00133_Azadirachta indica	rRNA_5S	124943	Eukaryota	Streptophyta	Magnoliopsida	Sapindales	Meliaceae	Azadirachta	NA
P00134_Bambusa arnhemica	rRNA_5S	426031	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bambusa	NA
P00135_Bambusa bambos	rRNA_5S	207296	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bambusa	NA
P00136_Bambusa emeiensis	rRNA_5S	280850	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bambusa	NA
P00137_Bambusa multiplex	rRNA_5S	4582	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bambusa	NA
P00138_Bambusa oldhamii	rRNA_5S	58923	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bambusa	NA
P00139_Barbarea verna	rRNA_5S	50458	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Barbarea	NA
P00140_Berberis bealei	rRNA_5S	13601	Eukaryota	Streptophyta	Magnoliopsida	Ranunculales	Berberidaceae	Berberis	NA
P00141_Bismarckia nobilis	rRNA_5S	292647	Eukaryota	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Bismarckia	NA
P00142_Boea hygrometrica	rRNA_5S	472368	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Dorcoceras	NA
P00143_Bomarea edulis	rRNA_5S	198697	Eukaryota	Streptophyta	Magnoliopsida	Liliales	Alstroemeriaceae	Bomarea	NA
P00144_Boulardia latisquama	rRNA_5S	362387	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Orobanche	NA
P00145_Bowenia serrulata	rRNA_5S	13365	Eukaryota	Streptophyta	Cycadopsida	Cycadales	Cycadaceae	Bowenia	NA
P00146_Brachyelytrum aristosum	rRNA_5S	447010	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Brachyelytrum	NA
P00147_Brachypodium distachyon	rRNA_5S	15368	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Brachypodium	NA
P00148_Brassaiopsis hainla	rRNA_5S	133939	Eukaryota	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Brassaiopsis	NA
P00149_Brassica napus	rRNA_5S	3708	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	NA
P00150_Briza maxima	rRNA_5S	29665	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Briza	NA
P00151_Bromus vulgaris	rRNA_5S	1617934	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Bromus	NA
P00152_Buergersiochloa bambusoides	rRNA_5S	93670	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Buergersiochloa	NA
P00153_Buxus microphylla	rRNA_5S	153571	Eukaryota	Streptophyta	Magnoliopsida	Buxales	Buxaceae	Buxus	NA
P00154_Calamus caryotoides	rRNA_5S	244023	Eukaryota	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Calamus	NA
P00155_Calanthe triplicata	rRNA_5S	256348	Eukaryota	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Calanthe	NA
P00156_Callitropsis nootkatensis	rRNA_5S	85954	Eukaryota	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Callitropsis	NA
P00157_Callitropsis vietnamensis	rRNA_5S	257623	Eukaryota	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Callitropsis	NA
P00158_Calocedrus formosana	rRNA_5S	54798	Eukaryota	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Calocedrus	NA
P00160_Camellia crapnelliana	rRNA_5S	542719	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00161_Camellia cuspidata	rRNA_5S	319925	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00162_Camellia danzaiensis	rRNA_5S	1339356	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00163_Camellia grandibracteata	rRNA_5S	1454364	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00164_Camellia impressinervis	rRNA_5S	147918	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00165_Camellia leptophylla	rRNA_5S	542733	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00166_Camellia oleifera	rRNA_5S	385388	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00167_Camellia petelotii	rRNA_5S	153490	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00168_Camellia pitardii	rRNA_5S	319928	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00169_Camellia pubicosta	rRNA_5S	1523625	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00170_Camellia reticulata	rRNA_5S	452972	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00171_Camellia sinensis	rRNA_5S	4442	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00172_Camellia taliensis	rRNA_5S	182317	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00173_Camellia yunnanensis	rRNA_5S	194713	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	NA
P00174_Campanula takesimana	rRNA_5S	989334	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula	NA
P00175_Campynema lineare	rRNA_5S	59062	Eukaryota	Streptophyta	Magnoliopsida	Liliales	Campynemataceae	Campynema	NA
P00176_Cannabis sativa	rRNA_5S	3483	Eukaryota	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	NA
P00177_Capsicum annuum	rRNA_5S	4072	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Capsicum	NA
P00178_Capsicum lycianthoides	rRNA_5S	362342	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Capsicum	NA
P00179_Cardamine impatiens	rRNA_5S	82286	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine	NA
P00180_Cardamine resedifolia	rRNA_5S	352370	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine	NA
P00181_Carica papaya	rRNA_5S	3649	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	NA
P00182_Carludovica palmata	rRNA_5S	108411	Eukaryota	Streptophyta	Magnoliopsida	Pandanales	Cyclanthaceae	Carludovica	NA
P00183_Carnegiea gigantea	rRNA_5S	171969	Eukaryota	Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Carnegiea	NA
P00184_Castanea mollissima	rRNA_5S	60419	Eukaryota	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Castanea	NA
P00185_Castanopsis echinocarpa	rRNA_5S	167385	Eukaryota	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	NA
P00186_Catharanthus roseus	rRNA_5S	4058	Eukaryota	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	NA
P00187_Cattleya crispata	rRNA_5S	142389	Eukaryota	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Cattleya	NA
P00188_Cenchrus americanus	rRNA_5S	4543	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Cenchrus	NA
P00189_Centaurea diffusa	rRNA_5S	124929	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	NA
P00190_Centotheca lappacea	rRNA_5S	66008	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Centotheca	NA
P00191_Cephalotaxus oliveri	rRNA_5S	147282	Eukaryota	Streptophyta	Pinopsida	Cupressales	Taxaceae	Cephalotaxus	NA
P00192_Cephalotaxus wilsoniana	rRNA_5S	50179	Eukaryota	Streptophyta	Pinopsida	Cupressales	Taxaceae	Cephalotaxus	NA
P00193_Ceratonia siliqua	rRNA_5S	20340	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ceratonia	NA
P00194_Ceratophyllum demersum	rRNA_5S	4428	Eukaryota	Streptophyta	Magnoliopsida	Ceratophyllales	Ceratophyllaceae	Ceratophyllum	NA
P00195_Ceratozamia hildae	rRNA_5S	171009	Eukaryota	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Ceratozamia	NA
P00196_Chara vulgaris	rRNA_5S	55564	Eukaryota	Streptophyta	Charophyceae	Charales	Characeae	Chara	NA
P00197_Chikusichloa aquatica	rRNA_5S	196898	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Chikusichloa	NA
P00198_Chimonocalamus longiusculus	rRNA_5S	862985	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Chimonocalamus	NA
